#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Anaplasma marginale	14	Anaplasma marginale str. St. Maries	NC_004842	CP000030			COM		15618402	
Anaplasma phagocytophilum	16	Anaplasma phagocytophilum str. HZ	NC_007797	CP000235			PRT/COM		16482227,21687416	
Ancylobacter	1	Ancylobacter sp. FA202	NZ_ARCM00000000	ARCM00000000			Default			
Aneurinibacillus aneurinilyticus	1	Aneurinibacillus aneurinilyticus ATCC 12856	NZ_AWSJ00000000	AWSJ00000000			Default			
Anoxybacillus flavithermus	4	Anoxybacillus flavithermus WK1	NC_011567	CP000922			COM		19014707	
Anoxybacillus kamchatkensis	1	Anoxybacillus kamchatkensis G10	NZ_ALJT00000000	ALJT00000000			Default			
Anoxybacillus	2	Anoxybacillus sp. DT3-1	NZ_ANMT00000000	ANMT00000000			Default			
Aquaspirillum serpens	1	Aquaspirillum serpens DSM 68	NZ_ATVC00000000	ATVC00000000			Default			
Aquifex aeolicus	1	Aquifex aeolicus VF5	NC_000918	AE000657	NC_001880	AE000667	UPR	This strain has a reference proteome in UniProtKB database.	9537320	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:2
Aquimarina agarilytica	1	Aquimarina agarilytica ZC1	NZ_AHHE00000000	AHHE00000000			Default			
Arcanobacterium haemolyticum	1	Arcanobacterium haemolyticum DSM 20595	NC_014218	CP002045			COM		21304742	
Archaeoglobus fulgidus	1	Archaeoglobus fulgidus DSM 4304	NC_000917	AE000782			COM		9389475	
Archaeoglobus profundus	1	Archaeoglobus profundus DSM 5631	NC_013741	CP001857	NC_013742	CP001858	COM		21304717	
Archaeoglobus sulfaticallidus	1	Archaeoglobus sulfaticallidus PM70-1	NC_021169	CP005290			Default		23833130	
Archaeoglobus veneficus	1	Archaeoglobus veneficus SNP6	NC_015320	CP002588			COM			
Arcobacter butzleri	4	Arcobacter butzleri RM4018	NC_009850	CP000361			COM		17588128,18159241	
Arcobacter nitrofigilis	1	Arcobacter nitrofigilis DSM 7299	NC_014166	CP001999			COM		21304714	
Arcobacter	5	Arcobacter sp. L	NC_017192	AP012048	NC_017193	AP012049	COM		22038970	
Arcticibacter svalbardensis	1	Arcticibacter svalbardensis MN12-7	NZ_AQPN00000000	AQPN00000000			Default			
Arenimonas oryziterrae	1	Arenimonas oryziterrae DSM 21050 = YC6267	NZ_ATVD00000000	ATVD00000000			Default			
Arhodomonas aquaeolei	1	Arhodomonas aquaeolei DSM 8974	NZ_ARGF00000000	ARGF00000000			Default			
Aromatoleum aromaticum	1	Aromatoleum aromaticum EbN1	NC_006513	CR555306	NC_006823 ... (2)	CR555307 ... (2)	COM		12420173,14735297,15551059,15687214	
Arthrobacter arilaitensis	1	Arthrobacter arilaitensis Re117	NC_014550	FQ311875	NC_014548 ... (2)	FQ311475 ... (2)	COM		21124797	
Arthrobacter aurescens	1	Arthrobacter aurescens TC1	NC_008711	CP000474	NC_008712 ... (2)	CP000475 ... (2)	COM		17194220	
Arthrobacter chlorophenolicus	1	Arthrobacter chlorophenolicus A6	NC_011886	CP001341	NC_011879 ... (2)	CP001342 ... (2)	COM			
Arthrobacter crystallopoietes	1	Arthrobacter crystallopoietes BAB-32	NZ_ANPE00000000	ANPE00000000			Default			
Arthrobacter gangotriensis	1	Arthrobacter gangotriensis Lz1y	NZ_AOCK00000000	AOCK00000000			Default			
Arthrobacter globiformis	1	Arthrobacter globiformis NBRC 12137	NZ_BAEG00000000	BAEG00000000			Default			
Arthrobacter nicotinovorans	2	Arthrobacter nicotinovorans			NC_021229	AJ507836	Default			
	0	Arthrobacter nitroguajacolicus					Default			
Arthrobacter phenanthrenivorans	1	Arthrobacter phenanthrenivorans Sphe3	NC_015145	CP002379	NC_015146 ... (2)	CP002380 ... (2)	COM		21677849	
	0	Arthrobacter rhombi					Default			
Arthrobacter	23	Arthrobacter sp. FB24	NC_008541	CP000454	NC_008537 ... (3)	CP000455 ... (3)	COM/PRT			
Arthrospira maxima	1	Arthrospira maxima CS-328	NZ_ABYK00000000	ABYK00000000			Default			
Arthrospira platensis	3	Arthrospira platensis NIES-39	NC_016640	AP011615			Default		20203057	
Arthrospira	1	Arthrospira sp. PCC 8005	NZ_CAFN00000000	CAFN00000000			Default			
Asaia sp.	1	Asaia sp. SF2.1	NZ_AYXS00000000	AYXS00000000			Default			
	0	Aster yellows phytoplasma					Default			
Aster yellows witches'-broom phytoplasma	1	Aster yellows witches'-broom phytoplasma AYWB	NC_007716	CP000061	NC_007717 ... (4)	CP000062 ... (4)	COM		16672622	
Asticcacaulis benevestitus	2	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896	NZ_AQWM00000000	AQWM00000000			Default			
Asticcacaulis biprosthecium	1	Asticcacaulis biprosthecum C19	NZ_ADUH00000000	ADUH00000000			Default			
Asticcacaulis excentricus	1	Asticcacaulis excentricus CB 48	NC_014816,NC_014817	CP002395,CP002396	NC_014818 ... (2)	CP002397 ... (2)	COM			
Asticcacaulis sp.	4	Asticcacaulis sp. AC402	NZ_AWGC00000000	AWGC00000000			Default			
Atopobium minutum	1	Atopobium minutum 10063974	NZ_AGXC00000000	AGXC00000000			Default			
Atopobium parvulum	2	Atopobium parvulum DSM 20469	NC_013203	CP001721			COM		21304653	
Atopobium rimae	1	Atopobium rimae ATCC 49626	NZ_ACFE00000000	ACFE00000000			Default			
Atopobium	6	Atopobium sp. ICM58	NZ_ALIY00000000	ALIY00000000			Default			
Atopobium vaginae	3	Atopobium vaginae PB189-T1-4	NZ_AEDQ00000000	AEDQ00000000			Default			
Aurantimonas manganoxydans	1	Aurantimonas manganoxydans SI85-9A1	NZ_AAPJ00000000	AAPJ00000000			Default			
Aureimonas ureilytica	1	Aureimonas ureilytica DSM 18598	NZ_ARQE00000000	ARQE00000000			Default			
Austwickia chelonae	1	Austwickia chelonae NBRC 105200	NZ_BAGZ00000000	BAGZ00000000			Default			
	0	Avibacterium paragallinarum					Default			
Azoarcus	2	Azoarcus sp. BH72	NC_008702	AM406670			COM		17057704	
Azoarcus toluclasticus	1	Azoarcus toluclasticus ATCC 700605	NZ_ARJX00000000	ARJX00000000			Default			
Azorhizobium caulinodans	1	Azorhizobium caulinodans ORS 571	NC_009937	AP009384			COM		17720818,18522759,19542345,20382809,21571889	
Azospirillum amazonense	1	Azospirillum amazonense Y2	NZ_AFBX00000000	AFBX00000000			Default			
	0	Azospirillum brasilense FP2					Default			
Azospirillum brasilense	2	Azospirillum brasilense Sp245	NC_016617	HE577327	NC_016594 ... (6)	HE577328 ... (6)	Default		22216014	
Azospirillum lipoferum	1	Azospirillum lipoferum 4B	NC_016622	FQ311868	NC_016585 ... (6)	FQ311869 ... (6)	Default		22216014	
Azospirillum	3	Azospirillum sp. B510	NC_013854	AP010946	NC_013855 ... (6)	AP010947 ... (6)	COM		20047946	
Azotobacter vinelandii	3	Azotobacter vinelandii DJ	NC_012560	CP001157			COM		19429624	
Bacillus acidiproducens	1	Bacillus acidiproducens DSM 23148	NZ_ARFQ00000000	ARFQ00000000			Default			
Bacillus alcalophilus	1	Bacillus alcalophilus ATCC 27647	NZ_ALPT00000000	ALPT00000000			Default			
Bacillus amyloliquefaciens	22	Bacillus amyloliquefaciens subsp. plantarum str. FZB42	NC_009725	CP000560			COM		17704766	
Bacillus anthracis	38	Bacillus anthracis str. Ames	NC_003997	AE016879			FGS/MOD/UPR	This is the first genome of Bacillus anthracis. Bacillus anthracis is a pathogenic bacterium causing lethal inhalational anthrax. Key virulence genes are found on plasmids pXO1 and pXO2. The B. anthracis Ames Ancestor strain originally isolated from a dead cow in Texas in 1981 and is used as a &apos;gold standard&apos; for development of vaccines and testing their effectiveness in the United States. The reference laboratory sample (Porton isolate) has been derived from Ancestor and cured of plasmid pXO1 and pXO2. The Ames strain (Florida) became subject to intensive study after its use in 2001 anthrax letter attacks in Florida. B.anthracis is a highly monomorphic species with genes from different isolates having more than 99% nucleotide sequence identity. However different isolates show high phenotypic variation in infection potential.	12721629	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:3
Bacillus anthracis	38	Bacillus anthracis str. Sterne	NC_005945	AE017225			UPR	Bacillus anthracis is a pathogenic bacterium causing lethal inhalational anthrax. Key virulence genes are found on plasmids pXO1 and pXO2. The B. anthracis Ames Ancestor strain originally isolated from a dead cow in Texas in 1981 and is used as a &apos;gold standard&apos; for development of vaccines and testing their effectiveness in the United States. The reference laboratory sample (Porton isolate) has been derived from Ancestor and cured of plasmid pXO1 and pXO2. The Ames strain (Florida) became subject to intensive study after its use in 2001 anthrax letter attacks in Florida. B.anthracis is a highly monomorphic species with genes from different isolates having more than 99% nucleotide sequence identity. However different isolates show high phenotypic variation in infection potential.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:4
Bacillus atrophaeus	15	Bacillus atrophaeus 1942	NC_014639	CP002207			COM		21464989	
Bacillus azotoformans	1	Bacillus azotoformans LMG 9581	NZ_AJLR00000000	AJLR00000000			Default			
Bacillus bataviensis	1	Bacillus bataviensis LMG 21833	NZ_AJLS00000000	AJLS00000000			Default			
Bacillus cellulosilyticus	1	Bacillus cellulosilyticus DSM 2522	NC_014829	CP002394			COM			
Bacillus cereus	146	Bacillus cereus ATCC 14579	NC_004722	AE016877	NC_004721	AE016878	TYS/MOD/UPR	This is the type strain of Bacillus cereus and was widely used in biological studies. This strain has a reference proteome in UniProtKB database.	12721630	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:5
Bacillus clausii	1	Bacillus clausii KSM-K16	NC_006582	AP006627			COM		7632397,9278275,17429572	
Bacillus coagulans	8	Bacillus coagulans 2-6	NC_015634	CP002472			COM		21705584	
Bacillus coahuilensis	1	Bacillus coahuilensis m4-4	NZ_ABFU00000000	ABFU00000000			Default			
Bacillus cytotoxicus	1	Bacillus cytotoxicus NVH 391-98	NC_009674	CP000764	NC_009673	CP000765	COM		17434157	
Bacillus endophyticus	1	Bacillus endophyticus 2102	NZ_ALIM00000000	ALIM00000000			Default			
Bacillus fordii	1	Bacillus fordii DSM 16014	NZ_ARGB00000000	ARGB00000000			Default			
Bacillus halodurans	1	Bacillus halodurans C-125	NC_002570	BA000004			COM		10086841,10086842,10192928,10427704,10484179,10805564,10972189,11058132	
Bacillus infantis	1	Bacillus infantis NRRL B-14911	NC_022524	CP006643			Default			
Bacillus isronensis	1	Bacillus isronensis B3W22	NZ_AMCK00000000	AMCK00000000			Default			
Bacillus licheniformis	9	Bacillus licheniformis DSM 13 = ATCC 14580	NC_006322	AE017333			COM		15383718	
Bacillus macauensis	1	Bacillus macauensis ZFHKF-1	NZ_AKKV00000000	AKKV00000000			Default			
Bacillus marmarensis	1	Bacillus marmarensis DSM 21297	NZ_ATAE00000000	ATAE00000000			Default			
Bacillus megaterium	6	Bacillus megaterium DSM 319	NC_014103	CP001982			COM		21705586	
Bacillus megaterium	6	Bacillus megaterium WSH-002	NC_016070	FN869859			COM		22003381	
	0	Bacillus methanolicus					Default			
Bacillus mojavensis	3	Bacillus mojavensis RO-H-1 = KCTC 3706	NZ_AFSI00000000	AFSI00000000			Default			
	0	Bacillus mycoides					Default			
Bacillus nealsonii	1	Bacillus nealsonii AAU1	NZ_ASRU00000000	ASRU00000000			Default			
Bacillus oceanisediminis	1	Bacillus oceanisediminis 2691	NZ_ALEG00000000	ALEG00000000			Default			
Bacillus pseudofirmus	1	Bacillus pseudofirmus OF4	NC_013791	CP001878	NC_013792 ... (2)	CP001879 ... (2)	COM		21951522	
Bacillus pseudomycoides	1	Bacillus pseudomycoides DSM 12442	NZ_ACMX00000000,NZ_CM000745	ACMX00000000,CM000745			Default		22645259	
	0	Bacillus psychrosaccharolyticus ATCC 23296					Default			
Bacillus pumilus	7	Bacillus pumilus SAFR-032	NC_009848	CP000813			COM		17895969,23799069,23812891	
Bacillus selenitireducens	1	Bacillus selenitireducens MLS10	NC_014219	CP001791			COM			
Bacillus siamensis	1	Bacillus siamensis KCTC 13613	NZ_AJVF00000000	AJVF00000000			Default			
Bacillus smithii	1	Bacillus smithii 7_3_47FAA	NZ_ACWF00000000	ACWF00000000			Default			
Bacillus sonorensis	2	Bacillus sonorensis L12	NZ_AOFM00000000	AOFM00000000			Default			
Bacillus	54	Bacillus sp. 1NLA3E	NC_021171	CP005586			Default		23833140	
Bacillus	54	Bacillus sp. M 2-6	NZ_AJWW00000000	AJWW00000000			Default			
Bacillus stratosphericus	1	Bacillus stratosphericus LAMA 585	NZ_APAS00000000	APAS00000000	NZ_APAS01000019	APAS01000019	Default			
Bacillus subtilis	37	Bacillus subtilis subsp. subtilis str. 168	NC_000964	AL009126			MOD/UPR	Bacillus subtilis subsp. subtilis str. 168 is widely used in the laboratory study and it has a reference proteome in UniProtKB database.	9384377,19383706,23429746	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:6
Bacillus thuringiensis	36	Bacillus thuringiensis serovar konkukian str. 97-27	NC_005957	AE017355	NC_006578	CP000047	CLI	B. thuringiensis 97-27 subsp. konkukian serotype H34 was isolated from a severe and necrotic war wound. It has a reference proteome in UniProtKB database.		
Bacillus toyonensis	1	Bacillus toyonensis BCT-7112	NC_022781	CP006863	NC_022782 ... (2)	CP006864 ... (2)	Default		23791203,24356843	
Bacillus vallismortis	2	Bacillus vallismortis DV1-F-3	NZ_AFSH00000000	AFSH00000000			Default			
Bacillus vireti	1	Bacillus vireti LMG 21834	NZ_ALAN00000000	ALAN00000000			Default			
Bacillus weihenstephanensis	4	Bacillus weihenstephanensis KBAB4	NC_010184	CP000903	NC_010180 ... (4)	CP000904 ... (4)	COM		17434157	
Bacteriovorax marinus	1	Bacteriovorax marinus SJ	NC_016620	FQ312005	NC_019100	HE610506	COM		22955231	
Bacteriovorax	4	Bacteriovorax sp. BAL6_X	NZ_AUMC00000000	AUMC00000000			Default			
	0	Bacteroidales bacterium CF					Default			
Bacteroides barnesiae	1	Bacteroides barnesiae DSM 18169	NZ_ARGC00000000	ARGC00000000			Default			
Bacteroides caccae	3	Bacteroides caccae ATCC 43185	NZ_AAVM00000000	AAVM00000000			Default			
Bacteroides cellulosilyticus	4	Bacteroides cellulosilyticus DSM 14838	NZ_ACCH00000000	ACCH00000000			Default			
Bacteroides clarus	1	Bacteroides clarus YIT 12056	NZ_AFBM00000000	AFBM00000000			Default			
Bacteroides coprocola	1	Bacteroides coprocola DSM 17136	NZ_ABIY00000000	ABIY00000000			Default			
Bacteroides coprophilus	1	Bacteroides coprophilus DSM 18228 = JCM 13818	NZ_ACBW00000000	ACBW00000000			Default			
Bacteroides coprosuis	1	Bacteroides coprosuis DSM 18011	NZ_AFFW00000000,NZ_CM001167	AFFW00000000,CM001167			Default		21677860	
Bacteroides dorei	5	Bacteroides dorei DSM 17855	NZ_ABWZ00000000	ABWZ00000000			Default			
Bacteroides eggerthii	3	Bacteroides eggerthii DSM 20697	NZ_ABVO00000000	ABVO00000000			Default			
Bacteroides faecis	1	Bacteroides faecis MAJ27	NZ_AGDG00000000	AGDG00000000			Default			
Bacteroides finegoldii	3	Bacteroides finegoldii DSM 17565	NZ_ABXI00000000	ABXI00000000			Default			
Bacteroides fluxus	1	Bacteroides fluxus YIT 12057	NZ_AFBN00000000	AFBN00000000			Default			
Bacteroides fragilis	85	Bacteroides fragilis YCH46	NC_006347	AP006841	NC_006297	AP006842	COM		15466707	
Bacteroides gallinarum	1	Bacteroides gallinarum DSM 18171	NZ_ARFR00000000	ARFR00000000			Default			
Bacteroides helcogenes	1	Bacteroides helcogenes P 36-108	NC_014933	CP002352			COM		21475586	
Bacteroides intestinalis	1	Bacteroides intestinalis DSM 17393	NZ_ABJL00000000	ABJL00000000			Default			
Bacteroides massiliensis	3	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	NZ_ARDF00000000	ARDF00000000			Default			
Bacteroides nordii	1	Bacteroides nordii CL02T12C05	NZ_AGXS00000000	AGXS00000000			Default			
Bacteroides oleiciplenus	1	Bacteroides oleiciplenus YIT 12058	NZ_ADLF00000000	ADLF00000000			Default			
Bacteroides ovatus	7	Bacteroides ovatus SD CMC 3f	NZ_ADMO00000000	ADMO00000000			Default			
Bacteroides plebeius	1	Bacteroides plebeius DSM 17135	NZ_ABQC00000000	ABQC00000000			Default			
Bacteroides propionicifaciens	1	Bacteroides propionicifaciens DSM 19291	NZ_AQWS00000000	AQWS00000000			Default			
Bacteroides pyogenes	5	Bacteroides pyogenes F0041	NZ_AWSV00000000	AWSV00000000			Default			
Bacteroides salanitronis	1	Bacteroides salanitronis DSM 18170	NC_015164	CP002530	NC_015165 ... (3)	CP002531 ... (3)	COM		21677856	
Bacteroides salyersiae	2	Bacteroides salyersiae CL02T12C01	NZ_AGXV00000000	AGXV00000000			Default			
Bacteroides	27	Bacteroides sp. 2_1_33B	NZ_ACPR00000000	ACPR00000000			Default			
Bacteroides stercoris	2	Bacteroides stercoris ATCC 43183	NZ_ABFZ00000000	ABFZ00000000			Default			
Bacteroides thetaiotaomicron	2	Bacteroides thetaiotaomicron dnLKV9	NZ_ASSM00000000	ASSM00000000			Default			
Bacteroides thetaiotaomicron	2	Bacteroides thetaiotaomicron VPI-5482	NC_004663	AE015928	NC_004703	AY171301	QfO/UPR	This strain has a reference proteome in UniProtKB database.	12663928,19321416	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:2
	0	Bacteroides uniformis					Default			
Bacteroides vulgatus	7	Bacteroides vulgatus ATCC 8482	NC_009614	CP000139			COM		17579514	
Bacteroides xylanisolvens	6	Bacteroides xylanisolvens XB1A	NC_021017	FP929033			Default			
[Bacteroides] pectinophilus	1	[Bacteroides] pectinophilus ATCC 43243	NZ_ABVQ00000000	ABVQ00000000			Default			
Bacteroidetes bacterium oral taxon 272	1	Bacteroidetes bacterium oral taxon 272 str. F0290	NZ_AUTU00000000	AUTU00000000			Default			
Bacteroidetes oral taxon 274	1	Bacteroidetes oral taxon 274 str. F0058	NZ_ADCM00000000	ADCM00000000			Default			
Balneola vulgaris	1	Balneola vulgaris DSM 17893	NZ_AQXH00000000	AQXH00000000			Default			
Barnesiella intestinihominis	1	Barnesiella intestinihominis YIT 11860	NZ_ADLE00000000	ADLE00000000			Default			
Bartonella alsatica	1	Bartonella alsatica IBS 382	NZ_AIME00000000	AIME00000000			Default			
Bartonella australis	2	Bartonella australis Aust/NH1	NC_020300	CP003123			Default		23555299	
Bartonella bacilliformis	13	Bartonella bacilliformis KC583	NC_008783	CP000524			COM			
Bartonella birtlesii	6	Bartonella birtlesii LL-WM9	NZ_AIMC00000000	AIMC00000000			Default			
Bartonella bovis	2	Bartonella bovis 91-4					Default			
Bartonella clarridgeiae	2	Bartonella clarridgeiae 73	NC_014932	FN645454			COM		21347280	
Bartonella doshiae	2	Bartonella doshiae NCTC 12862	NZ_AILV00000000	AILV00000000			Default			
Bartonella elizabethae	3	Bartonella elizabethae Re6043vi	NZ_AILW00000000	AILW00000000			Default			
	0	Bartonella grahamii					Default			
Bartonella grahamii	2	Bartonella grahamii as4aup	NC_012846	CP001562	NC_012847	CP001563	COM		19578403	
Bartonella henselae	7	Bartonella henselae str. Houston-1	NC_005956	BX897699			PRT/COM		15210978	
Bartonella melophagi	1	Bartonella melophagi K-2C	NZ_AIMA00000000	AIMA00000000			Default			
	0	Bartonella queenslandensis AUST/NH15					Default			
Bartonella quintana	14	Bartonella quintana str. Toulouse	NC_005955	BX897700			COM		15210978	
Bartonella rattaustraliani	1	Bartonella rattaustraliani AUST/NH4	NZ_CALW00000000	CALW00000000			Default			
Bartonella rattimassiliensis	2	Bartonella rattimassiliensis 15908	NZ_AILY00000000	AILY00000000			Default			
Bartonella schoenbuchensis	1	Bartonella schoenbuchensis m07a					Default			
Bartonella	3	Bartonella sp. DB5-6	NZ_AILT00000000	AILT00000000			Default			
Bartonella	3	Bartonella sp. TT0105			NC_019248	GU173851	Default			
Bartonella tamiae	2	Bartonella tamiae Th239	NZ_AIMB00000000	AIMB00000000			Default			
Bartonella taylorii	1	Bartonella taylorii 8TBB	NZ_AIMD00000000	AIMD00000000			Default			
	0	Bartonella tribocorum					Default			
Bartonella tribocorum	1	Bartonella tribocorum CIP 105476	NC_010161	AM260525	NC_010160	AM260524	COM		18037886	
Bartonella vinsonii	5	Bartonella vinsonii subsp. berkhoffii str. Winnie	NC_020301	CP003124			Default		23555299	
Bartonella washoensis	2	Bartonella washoensis 085-0475	NZ_AILX00000000	AILX00000000			Default			
Candidatus Baumannia cicadellinicola	1	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	NC_007984	CP000238			COM		16729848	
Bavariicoccus seileri	1	Bavariicoccus seileri DSM 19936	NZ_ATXL00000000	ATXL00000000			Default			
Bdellovibrio bacteriovorus	3	Bdellovibrio bacteriovorus str. Tiberius	NC_019567	CP002930			COM		23181807	
Bdellovibrio exovorus	1	Bdellovibrio exovorus JSS	NC_020813	CP003537			Default		23190728	
	0	Beet leafhopper transmitted virescence phytoplasma					Default			
Beggiatoa alba	1	Beggiatoa alba B18LD	NZ_AHMA00000000	AHMA00000000			Default			
Beggiatoa	3	Beggiatoa sp. PS					Default			
Beijerinckia indica	1	Beijerinckia indica subsp. indica ATCC 9039	NC_010581	CP001016	NC_010578 ... (2)	CP001017 ... (2)	COM		20601475	
Belliella baltica	1	Belliella baltica DSM 15883	NC_018010	CP003281			Default			
Bergeyella zoohelcum	2	Bergeyella zoohelcum CCUG 30536	NZ_AGYB00000000	AGYB00000000			Default			
Bermanella marisrubri	1	Bermanella marisrubri	NZ_AAQH00000000	AAQH00000000			Default			
beta proteobacterium KB13	1	beta proteobacterium KB13	NZ_ABXG00000000	ABXG00000000			Default			
Beutenbergia cavernae	1	Beutenbergia cavernae DSM 12333	NC_012669	CP001618			COM		21304633	
